Process_ID,Resource_ID,Allocated,Requested,Available,Priority,Wait_Time,Total_System_Resources,Hold_and_Wait,System_Load,Circular_Wait_Probability,Deadlock_State
11,6,4,3,6,3,27,73,1,1.868472367005256,0.97,Deadlock
6,7,7,4,1,2,13,70,1,1.4636208818917764,0.61,Safe
3,2,1,0,11,7,4,41,0,1.186610421377782,0.51,Safe
3,1,1,1,14,3,11,88,1,1.5001886613536193,0.12,Safe
1,9,5,5,4,1,50,67,1,1.1269239517061533,0.39,Deadlock
17,5,1,4,3,3,4,23,1,1.0541132570352503,0.95,Safe
12,8,0,1,15,6,49,53,1,2.0924143518484817,0.9,Deadlock
14,9,6,7,14,3,29,50,0,2.5585498755897538,0.74,Deadlock
13,8,1,5,3,1,50,61,1,2.360781995798167,0.61,Deadlock
18,1,6,0,13,5,50,34,0,1.5302225206962967,0.12,Safe
15,6,3,0,10,4,50,35,1,2.2718176057772683,0.33,Deadlock
11,2,4,5,0,10,26,24,1,1.9891776104444843,0.47,Deadlock
7,10,4,6,7,4,36,78,0,2.9547731315158146,0.22,Safe
18,10,1,7,7,1,37,64,0,1.6268513677016352,0.66,Safe
9,10,0,6,0,8,12,59,1,2.1912930924095892,0.37,Deadlock
5,10,3,6,14,2,5,91,1,1.251766048411595,0.87,Deadlock
6,1,3,4,1,10,29,56,0,1.2293415289185403,0.13,Safe
20,5,7,4,3,1,21,60,0,2.653682245340015,0.88,Deadlock
16,3,0,6,11,2,42,24,0,2.462886250189942,0.9,Deadlock
6,5,5,3,11,3,41,100,1,2.1048731088226202,1.0,Deadlock
12,7,4,1,10,8,25,82,1,2.432154153014026,0.19,Safe
11,6,2,3,1,10,17,21,0,1.3938714019759828,0.09,Safe
18,7,7,2,4,6,36,88,0,2.2699707526808623,0.13,Safe
17,5,0,0,11,4,8,67,1,1.1387904712234875,0.78,Safe
2,5,3,3,7,8,40,26,1,1.6363627766487963,0.85,Deadlock
16,1,7,6,15,5,16,48,1,2.5434148150549047,0.13,Safe
16,10,4,5,1,1,10,36,0,2.5223270171382284,0.33,Safe
11,5,6,4,12,4,48,53,0,2.8029733874170617,0.7,Safe
13,9,7,2,8,10,37,27,0,2.5350279506720055,0.48,Safe
9,10,7,3,6,2,36,53,1,1.6681520947684962,0.74,Deadlock
3,3,4,6,1,7,25,35,0,1.0404806657138195,0.24,Deadlock
18,1,3,1,9,1,35,23,0,1.0560061738066722,0.3,Safe
13,6,7,4,13,7,39,55,1,2.247688960203516,0.58,Deadlock
8,3,2,2,4,6,12,76,0,1.0612809235184737,0.91,Safe
3,10,3,1,15,5,0,53,1,2.3418697692733144,0.39,Safe
9,2,5,6,0,8,5,35,0,2.336892056004483,0.44,Deadlock
5,9,7,1,7,8,46,79,1,2.5556216995816863,0.12,Deadlock
10,5,0,2,10,8,33,99,1,1.7475932366975402,0.74,Deadlock
20,2,1,1,4,3,22,70,1,2.9115432623608255,0.24,Safe
20,1,7,6,6,2,1,94,1,2.759352230836467,0.98,Deadlock
6,1,1,5,11,1,22,76,0,2.5462463882372455,0.54,Safe
17,10,6,7,11,4,5,47,0,2.476112216251923,0.82,Deadlock
17,8,0,0,14,8,10,76,0,1.1745782825234612,0.31,Safe
18,4,5,7,6,3,48,58,0,2.787748437104889,0.31,Safe
3,6,5,2,9,1,4,60,1,2.698120489047822,0.04,Safe
14,8,5,7,5,9,48,82,1,2.924347028499582,0.93,Deadlock
10,8,1,6,9,5,17,40,1,1.7028847134917526,0.37,Safe
3,7,3,3,6,10,18,38,0,1.9989454128158906,0.88,Deadlock
12,9,5,1,12,5,29,59,0,1.710160602933365,0.83,Deadlock
4,1,3,6,2,6,42,21,0,2.263075555242951,0.55,Deadlock
9,10,1,6,10,2,1,78,1,1.4218824533410983,0.72,Deadlock
13,6,7,2,4,10,33,66,1,1.7137070000925887,0.99,Deadlock
18,3,1,7,10,1,17,52,1,1.5936620744726389,0.15,Safe
8,10,1,3,13,8,47,64,0,2.9220149528371415,0.08,Safe
15,7,2,1,3,3,25,55,1,1.5365503311079336,0.35,Safe
4,8,5,7,6,3,32,32,0,2.740113664529017,0.1,Safe
15,4,5,2,5,4,50,93,1,2.492298259308869,0.3,Deadlock
9,9,5,5,3,7,26,68,1,1.1640302199060972,0.4,Safe
15,9,5,2,4,6,17,48,0,1.5766144545982814,0.3,Safe
7,4,7,7,1,2,47,59,0,2.860405901787093,0.24,Safe
11,3,1,1,11,5,44,90,1,1.3688938022685004,0.1,Deadlock
20,7,1,0,4,9,16,85,0,2.9880828622371536,0.07,Safe
10,2,2,1,5,5,22,58,1,2.3572782210363172,0.26,Safe
18,1,6,5,9,3,15,80,1,2.4673446383003954,0.68,Safe
9,3,4,6,15,6,16,33,0,1.3309931753004307,0.58,Safe
8,8,4,3,5,6,5,26,0,2.2592855591667904,0.75,Deadlock
11,9,2,0,12,6,7,31,1,1.3040392689591576,0.72,Deadlock
17,10,4,1,6,4,36,48,1,2.6769893889176695,0.16,Deadlock
6,7,1,7,15,3,6,41,1,1.4242678501147061,0.38,Safe
4,1,1,7,4,9,13,39,1,2.501782169511478,0.55,Deadlock
12,8,1,7,15,6,18,31,1,1.6220388225027842,0.78,Deadlock
1,1,2,0,6,3,18,88,1,1.7338876891194905,0.84,Deadlock
20,8,1,4,6,9,49,67,0,2.075011881526561,0.58,Safe
1,10,2,4,6,9,21,54,1,2.261579279150861,0.87,Deadlock
7,6,3,5,15,5,43,88,1,2.357529091932544,0.43,Deadlock
15,3,6,3,14,3,22,75,0,1.0307451863749193,0.97,Safe
4,7,7,4,15,2,17,61,1,2.9081226356766825,0.14,Safe
12,1,7,1,3,7,29,95,1,2.792031733496173,0.59,Safe
7,7,3,2,1,10,3,55,0,2.1495777187976195,0.34,Safe
10,6,5,5,2,2,5,35,0,1.1388576325859623,0.13,Safe
11,10,6,6,10,10,7,70,0,2.470440024901281,0.88,Deadlock
20,9,6,6,0,8,22,52,0,1.0800292419254867,0.95,Safe
6,5,2,7,10,2,20,49,1,2.792663853269238,0.11,Safe
19,6,3,0,0,1,35,80,1,2.0135662644513186,0.04,Deadlock
4,10,0,5,2,4,13,100,1,1.1587461488287942,0.26,Deadlock
13,5,5,1,2,10,47,44,1,2.254061223489653,0.54,Deadlock
11,3,7,0,9,2,21,47,0,1.6479746101895223,0.01,Safe
19,9,5,6,14,6,0,63,0,1.3049134733929295,0.15,Safe
10,5,2,3,14,2,30,61,1,2.0076039518755247,0.72,Deadlock
2,7,4,7,4,5,39,30,1,1.487668191779045,0.38,Deadlock
13,6,2,5,8,10,39,25,1,1.5299002204465137,0.71,Deadlock
19,9,3,0,8,6,13,52,0,2.1135216177747154,0.54,Safe
18,6,0,2,2,6,49,31,0,2.449775537530944,0.93,Deadlock
6,3,5,1,12,7,22,80,1,2.6983212567730175,0.4,Safe
2,4,4,6,15,4,38,69,1,2.6805301117288445,0.96,Deadlock
11,6,6,6,6,3,25,86,1,2.5741166529519286,0.9,Deadlock
6,10,7,2,15,3,31,32,0,2.017237780937798,0.89,Deadlock
10,2,1,7,0,4,20,95,0,1.090982557317253,0.68,Deadlock
15,7,7,5,14,1,36,32,1,2.3299520630653365,0.69,Deadlock
12,5,2,3,2,5,28,58,0,1.4701815900900361,0.93,Deadlock
10,1,0,6,5,9,13,72,1,2.1486117202077137,0.38,Deadlock
16,8,4,2,4,4,9,70,0,1.8872437053471258,0.62,Safe
14,10,5,5,13,6,17,36,0,2.8034169345439546,0.66,Safe
20,2,2,7,3,5,3,25,1,1.9350640068944276,0.66,Deadlock
14,5,1,6,12,1,21,38,0,2.2339852801257702,0.66,Safe
4,5,2,3,7,1,6,95,1,2.1831232831996754,0.29,Safe
11,5,4,0,5,3,43,65,1,1.656404179798077,0.25,Deadlock
11,9,5,6,0,5,12,98,1,2.2149658017848983,0.03,Deadlock
16,1,6,0,12,6,25,52,1,2.201324268637105,0.62,Safe
15,4,0,5,12,2,26,58,0,2.715855203623647,0.39,Safe
18,2,4,1,13,8,8,83,0,1.5950737644479982,0.69,Safe
1,1,6,2,2,8,11,27,0,2.1207811720846914,0.39,Safe
11,7,2,2,10,4,0,67,1,1.9300339884927336,0.93,Deadlock
17,4,6,2,6,10,41,25,1,2.1589065635668545,0.28,Deadlock
15,10,0,7,3,2,8,36,0,2.8590836226288774,0.69,Deadlock
8,5,0,2,9,1,8,57,0,1.0986812024141897,0.51,Safe
16,4,1,3,9,7,36,26,1,2.215481450674695,0.85,Deadlock
13,9,3,1,13,1,39,61,0,1.069342762672036,0.97,Safe
13,9,0,5,13,5,35,21,0,1.3621175856776002,0.36,Safe
10,8,0,7,3,5,9,78,1,2.918676878145723,0.76,Deadlock
4,5,1,4,12,10,41,21,0,1.7640868340105136,0.05,Safe
5,4,2,1,2,4,15,84,0,2.959861770371857,0.2,Safe
18,8,3,7,8,6,42,37,0,2.525335583122326,0.88,Deadlock
11,6,2,2,3,1,25,80,0,1.7328213849254392,0.61,Safe
19,7,3,7,6,1,9,68,0,2.8622120552326815,0.84,Deadlock
16,2,0,2,8,5,14,60,0,1.4725532858236121,0.85,Deadlock
5,10,1,7,14,8,5,62,0,2.094696716049987,0.95,Deadlock
6,5,2,5,9,9,45,60,0,2.536632615355571,0.81,Deadlock
13,10,2,3,7,7,36,32,0,1.7905769639457871,0.71,Deadlock
4,9,1,7,9,9,44,29,0,2.9467527777484155,0.55,Safe
6,1,6,4,4,4,20,46,0,1.0270813084752874,0.41,Safe
1,7,6,2,13,9,4,40,1,1.5881155728231535,0.57,Safe
7,6,6,3,2,3,30,74,0,1.6513656113314006,0.09,Safe
13,10,6,5,7,6,0,26,1,2.497798842730676,0.58,Safe
14,3,7,7,13,2,36,43,1,1.4504024822531063,0.92,Deadlock
12,2,3,5,4,9,45,28,0,1.2564532740573937,0.2,Safe
2,9,2,4,5,2,46,29,1,1.54842946889345,0.22,Deadlock
15,9,1,2,7,10,21,71,1,1.5048047429689104,0.58,Safe
15,5,4,5,5,3,0,48,1,1.2170245874417542,0.31,Safe
9,9,5,0,0,8,28,26,1,2.033398080013352,0.52,Safe
17,3,2,7,9,4,47,59,1,1.665279019938045,0.57,Deadlock
2,9,5,4,7,9,15,60,1,2.2742748645495645,0.79,Deadlock
16,3,1,5,11,8,30,49,0,2.975487415402345,0.21,Safe
20,6,3,6,14,9,43,37,1,2.7054357290210254,0.97,Deadlock
18,6,6,7,6,6,18,76,1,2.3247024432445818,0.79,Deadlock
2,4,1,7,7,3,25,52,1,1.465971653657925,0.63,Safe
14,1,1,0,14,10,24,77,0,1.470933408345519,0.57,Safe
2,6,2,2,8,6,49,77,0,1.2839386812669868,0.98,Deadlock
19,7,5,7,11,5,25,74,1,2.0387035890005696,0.22,Safe
9,9,1,2,7,1,3,58,0,1.8564021342678558,0.44,Safe
20,3,3,1,5,7,37,76,0,2.7497539743409787,0.11,Safe
3,1,1,7,5,2,45,72,0,2.8719639899804275,0.54,Deadlock
18,10,0,5,9,2,29,35,0,1.0687239035909162,0.66,Safe
5,8,4,6,8,4,24,92,0,1.6983624652073825,0.25,Safe
1,3,2,7,11,6,8,92,0,2.2110580772276975,0.0,Safe
8,3,4,4,6,10,45,69,1,2.488715771827944,0.96,Deadlock
20,9,3,1,6,8,34,28,1,2.530085534370216,0.86,Deadlock
16,9,1,3,12,4,36,94,0,1.5845456545699672,0.79,Deadlock
14,5,1,4,14,1,16,31,0,1.1510020301762305,0.6,Safe
11,10,7,3,12,7,44,93,0,2.686386773774422,0.83,Deadlock
7,9,2,4,8,7,18,72,0,1.2301955714531612,0.62,Safe
14,5,4,3,9,8,18,32,1,2.5136026975349783,0.46,Safe
9,10,0,2,4,8,13,26,1,2.527623954489828,0.75,Deadlock
13,1,6,4,14,1,36,42,0,1.9948636105495523,0.53,Safe
13,4,4,4,11,5,8,100,0,1.4574134265438288,0.15,Safe
13,7,3,6,1,2,41,44,1,1.2895632452297592,0.95,Deadlock
8,10,3,2,4,4,28,62,1,2.2248051783502927,0.35,Safe
19,6,0,7,1,2,41,39,1,1.2422982589648914,0.17,Deadlock
2,9,3,4,2,6,9,22,1,2.5968092144802597,0.94,Deadlock
17,4,4,6,15,1,25,97,0,1.3579721707054213,0.82,Deadlock
19,8,4,5,15,5,43,26,1,1.9580109017166258,0.61,Deadlock
12,9,3,0,4,9,36,86,0,1.6777666160238351,0.42,Safe
11,7,4,4,8,2,22,69,0,1.0617107941104214,0.59,Safe
3,6,5,0,11,6,29,86,1,1.2983657270935336,0.47,Safe
5,1,5,7,0,7,28,35,0,2.6114841920850775,0.83,Deadlock
19,8,4,7,6,7,26,69,0,1.5988394437140894,0.72,Deadlock
1,10,6,7,6,7,17,94,0,1.985083893644812,0.61,Safe
14,1,1,0,15,9,42,54,1,1.0468760008166302,0.96,Deadlock
6,6,0,1,11,7,34,22,1,2.3356460145613847,0.35,Deadlock
12,9,6,7,7,4,15,77,1,1.1765353316274778,0.92,Safe
15,2,6,4,1,9,13,49,0,2.774749106433206,0.39,Safe
6,5,2,3,6,2,31,49,1,1.651174604692361,0.27,Deadlock
3,2,5,0,14,10,43,75,1,2.6620536447991876,0.28,Deadlock
9,5,6,5,6,4,16,56,0,1.0398665042648525,0.97,Safe
19,3,0,6,7,5,41,53,0,1.77400476333004,0.58,Safe
1,5,7,3,6,9,27,52,1,1.5528707715657297,0.71,Deadlock
16,9,2,4,13,7,50,35,0,2.0444456672947116,0.57,Safe
15,6,7,4,11,10,8,35,1,2.3268593259046195,0.61,Safe
2,8,0,1,4,3,13,95,1,1.2806881494250704,0.91,Deadlock
6,5,5,2,12,8,30,52,1,2.7221047293484846,0.04,Safe
4,8,5,4,1,9,32,69,0,2.9229792968891157,0.48,Safe
4,8,0,0,14,6,27,87,0,1.402210370652922,0.74,Deadlock
18,9,2,2,7,9,19,44,1,1.3740803556321495,0.77,Deadlock
10,9,6,0,6,9,50,88,0,2.000093360917417,0.62,Safe
16,4,3,4,0,5,19,79,1,1.8104375065687521,0.59,Deadlock
18,1,4,1,11,8,1,93,1,2.8316980544863224,0.34,Safe
17,9,1,0,15,6,17,61,0,2.360581239867384,0.82,Deadlock
13,1,6,4,11,9,37,23,0,1.105382307241863,0.21,Safe
2,1,3,7,1,10,17,83,1,1.5192732530431146,0.73,Deadlock
9,10,0,6,15,6,37,72,1,2.9569234573666736,0.84,Deadlock
20,4,4,7,1,5,6,20,1,2.6495920554386476,0.71,Deadlock
19,6,6,4,13,7,23,58,0,2.8038508797411383,0.27,Safe
18,9,0,4,13,7,5,69,1,2.6689922605090652,0.66,Safe
4,2,4,4,0,10,18,94,1,2.8977930698235856,0.51,Safe
1,2,3,5,8,5,12,49,1,1.6536371727761698,0.55,Safe
16,7,2,0,7,2,7,27,1,1.2734336006416884,0.64,Safe
8,1,7,1,9,10,20,29,0,2.239784501607199,0.05,Safe
1,5,6,5,10,10,18,37,1,2.9082970274197004,0.24,Safe
20,3,7,7,13,2,8,43,1,1.936095709409716,0.03,Safe
8,1,0,4,0,2,42,68,0,1.160206470653162,0.69,Deadlock
14,5,4,3,12,3,17,74,0,2.8278858185963567,0.77,Deadlock
20,8,7,1,13,5,45,30,1,2.1785240275917657,0.46,Deadlock
1,10,2,6,5,7,25,82,0,1.9422468007675033,0.19,Safe
15,2,0,7,5,7,29,57,0,1.5161451833978667,0.52,Deadlock
1,5,6,6,2,4,21,41,1,1.5384175998851668,0.45,Safe
18,6,0,1,15,7,38,21,1,2.964483558717219,0.2,Deadlock
1,6,3,2,1,10,39,34,1,2.0121081945401302,0.32,Deadlock
2,4,3,7,0,3,4,71,0,2.9463206363576457,0.95,Deadlock
18,2,7,2,7,8,19,62,0,2.2667251937309785,0.17,Safe
5,2,5,5,5,4,1,34,1,1.2855819186617872,0.38,Safe
5,2,7,6,10,7,29,27,0,2.0249769177967805,0.94,Deadlock
1,9,6,1,2,2,29,22,1,1.4884982251948964,0.44,Safe
10,6,0,1,7,6,38,60,0,2.9798592152667407,0.36,Safe
14,2,1,0,15,6,9,80,0,1.1422183522030762,0.23,Safe
3,6,4,4,5,7,32,60,1,1.2369838535473756,0.87,Deadlock
17,3,5,0,8,10,8,91,0,2.494720149550731,0.9,Deadlock
14,5,2,0,0,5,14,77,0,2.757253200849716,0.06,Safe
15,4,6,1,1,5,25,71,0,1.3146660269632389,0.62,Safe
2,4,1,5,2,1,8,34,0,1.3007611650235158,0.1,Deadlock
15,2,0,4,8,9,41,73,0,1.9947927125225855,0.62,Safe
6,5,1,1,0,8,24,53,0,2.845219947693149,0.34,Safe
13,1,4,4,12,4,28,87,0,2.2875535942604075,1.0,Deadlock
18,2,0,0,1,1,39,41,0,2.580616785076021,0.71,Deadlock
20,8,3,1,9,2,21,58,1,1.2682846109251302,0.91,Deadlock
6,4,5,7,5,9,42,74,1,2.4590298037869136,0.54,Deadlock
4,6,6,4,7,9,39,28,1,1.6710989916796444,0.91,Deadlock
12,5,7,5,2,1,40,58,0,2.836814021256779,0.72,Deadlock
8,6,1,7,12,9,34,44,0,1.8221562958241848,0.64,Safe
14,8,2,2,3,6,30,58,1,1.2124715331864035,0.04,Safe
4,3,1,3,11,10,43,21,0,1.7389288020469513,0.7,Safe
18,4,2,1,13,5,46,94,1,1.1794101237733783,0.98,Deadlock
15,3,2,2,1,9,13,98,1,1.557119853062592,0.5,Safe
8,5,2,0,1,8,8,29,0,2.351710507955812,0.11,Safe
19,6,1,7,12,8,22,89,0,1.5913615167247714,0.56,Safe
6,1,1,3,10,7,46,83,0,2.9357583776854286,0.74,Deadlock
8,8,1,6,0,2,40,28,1,1.7776155329367467,0.1,Deadlock
7,5,2,4,0,4,47,28,0,1.0691595497665871,0.96,Deadlock
6,8,3,0,7,10,44,25,0,1.6639008984400203,0.66,Safe
19,6,6,7,6,6,4,50,0,2.4261497654246416,0.81,Deadlock
18,5,7,1,9,8,47,87,0,2.714142019802016,0.16,Safe
12,6,0,7,9,10,40,81,1,1.4233196595280102,0.8,Deadlock
5,1,7,1,0,1,28,62,1,1.598808536205647,0.87,Deadlock
12,8,3,3,5,6,44,80,0,2.7017227446555334,1.0,Deadlock
13,7,7,5,9,10,31,44,1,1.2224958648738238,0.7,Deadlock
5,3,7,6,15,5,9,52,1,2.2070812143947016,0.13,Safe
10,7,5,6,5,6,1,87,1,1.4333921593656316,0.62,Safe
4,8,2,1,1,9,33,90,0,1.63278437830613,0.8,Deadlock
12,8,7,7,8,1,18,75,0,2.7066793770530744,0.06,Safe
15,10,2,6,4,3,35,89,0,2.1865304935942973,0.57,Safe
18,6,4,4,4,6,27,45,1,2.5473206463270404,0.17,Safe
3,10,3,4,5,6,47,74,1,1.5956238291498348,0.59,Deadlock
9,1,2,4,9,6,25,24,1,1.0360980102372341,0.87,Safe
20,7,4,3,5,3,0,88,0,1.8184885367526658,0.68,Safe
18,6,7,1,0,5,48,47,1,1.2243681912608682,0.65,Deadlock
4,8,0,4,1,9,16,99,1,2.755093667226014,0.04,Deadlock
12,5,1,3,14,7,45,76,1,1.933140655890806,0.28,Deadlock
10,3,7,0,13,4,32,97,1,1.5409163219530495,0.0,Deadlock
8,5,6,0,5,10,25,60,0,1.0133678471945535,0.28,Safe
2,3,3,4,12,10,2,30,1,2.9735369867275327,0.06,Safe
12,10,7,2,10,10,1,98,0,2.2984122073879663,0.92,Deadlock
4,3,7,2,1,5,41,93,1,2.6557266230256555,0.54,Deadlock
1,1,0,5,3,7,47,48,0,1.523390578243785,0.35,Deadlock
1,6,6,1,1,6,47,55,0,2.656575266194923,0.75,Deadlock
20,10,2,3,3,6,6,25,0,2.9108459816809393,0.09,Safe
6,5,7,2,12,5,16,25,0,1.1288400244118815,0.73,Safe
3,10,6,2,6,6,29,100,0,2.8498458739712498,0.53,Safe
20,3,7,5,2,9,37,84,1,1.6659174338383578,0.16,Deadlock
18,4,3,0,5,4,34,51,1,2.920014035233547,0.14,Deadlock
8,2,6,1,4,7,3,46,0,1.1671955152863362,0.55,Safe
9,2,1,3,3,8,28,99,1,2.8051371998231156,0.7,Safe
16,2,4,3,15,5,15,29,1,1.42047524424023,1.0,Deadlock
9,7,2,1,0,1,35,48,0,1.9510652593365048,0.85,Deadlock
10,2,7,7,15,6,4,62,1,2.508084299297474,0.04,Safe
7,10,0,3,13,3,14,54,1,1.3899993977387295,0.76,Deadlock
9,3,6,3,8,7,21,33,0,1.8583427329290718,0.34,Safe
19,5,0,1,1,9,49,68,0,2.9754379836845306,0.65,Safe
6,5,2,2,3,5,50,91,0,2.633178954797454,0.38,Safe
8,5,6,4,0,10,20,60,1,2.6249622163614807,0.4,Safe
7,1,7,3,4,10,17,44,0,2.9772107467403375,0.12,Safe
19,7,0,3,4,8,19,21,1,1.6070321738524376,0.97,Deadlock
17,4,1,6,11,7,27,78,1,1.752367525249423,0.36,Safe
2,5,2,7,7,8,16,80,0,1.8992570297529423,0.69,Safe
16,2,1,5,11,2,15,91,0,2.1247527742078436,0.16,Safe
19,4,3,2,11,10,23,76,0,2.7406813214741725,0.48,Safe
12,2,7,0,13,10,5,52,1,2.545036652233594,0.53,Safe
1,10,5,1,13,1,32,76,0,1.8160722141603394,0.22,Safe
19,6,2,6,11,10,10,76,0,1.468653267574782,0.35,Safe
6,6,0,2,11,10,43,28,1,1.261407025226827,0.39,Deadlock
12,1,1,2,0,5,9,86,0,1.9372782214939623,0.8,Deadlock
17,4,6,4,5,1,8,23,0,2.538540279407857,0.34,Safe
2,10,6,1,5,8,33,32,0,1.8368126455172866,0.9,Deadlock
18,8,6,7,6,4,15,47,0,2.6816005443024866,0.87,Deadlock
19,1,2,3,15,1,12,40,1,1.2388398470720487,0.14,Safe
8,3,5,7,5,6,4,76,0,2.7781815682147917,0.0,Safe
14,8,3,6,5,9,14,86,1,1.6481024197367122,0.01,Safe
8,7,0,4,5,1,19,40,1,1.6882490862236936,0.69,Safe
2,1,2,7,15,2,28,31,1,2.174875396157934,0.31,Safe
1,10,6,5,8,4,28,48,1,1.1815183354684051,0.33,Safe
1,9,0,4,7,7,27,57,1,2.4220370321992113,0.21,Safe
5,2,6,0,0,9,23,30,1,1.001108928386901,0.28,Safe
9,5,3,3,8,6,8,52,0,2.528935983817764,0.83,Deadlock
3,1,7,2,12,4,15,28,0,1.6405534805068525,0.31,Safe
6,4,1,7,1,8,50,100,1,2.9006782222596055,0.14,Deadlock
4,2,1,3,11,4,41,77,1,1.6436280902573068,0.1,Deadlock
17,4,7,5,7,6,48,37,0,2.4161461400078363,0.84,Deadlock
19,2,7,6,15,5,25,70,1,1.5037941038394995,0.97,Deadlock
1,8,3,1,1,2,25,69,1,1.4995506844903475,0.14,Safe
6,5,6,7,8,9,11,65,1,1.922181757814437,0.11,Safe
17,2,2,4,2,5,11,23,0,1.8283105090691907,0.39,Safe
17,9,0,6,6,1,4,21,1,2.0141469600183335,0.13,Safe
20,8,7,7,7,3,50,40,0,1.1092578334571888,0.97,Safe
16,4,1,4,12,9,33,40,0,2.299754495148288,0.22,Safe
